code tray col row diam height  codex a.m10 a.b10 a.m20 a.b20 a.m30 a.b30 a.m40 a.b40 a.m50 a.b50 a.m60 a.b60 a.m60p a.b60p codey l.m10 l.b10 l.m20 l.b20 l.m30 l.b30 l.m40 l.b40 l.m50 l.b50 l.m60 l.b60 l.m60p l.b60p m.m10 m.b10 m.m20 m.b20 m.m30 m.b30 m.m40 m.b40 m.m50 m.b50 m.m60 m.b60 m.m60p m.b60p
51 8 E  5 413 49  51  4158    0 10765    0 10489 0 15384 0 11761 0     0 0    0 0   51 1  0 2 0 2 0 3 0 4 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 
52 8 E  6 306 35  52  2980    0  7437    0 10859 0  5032 0     0 0     0 0    0 0   52 1  0 2 0 3 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 
53 8 E  7 465 47  53  5089    0 16775    0  8952 0 10584 0  7996 0     0 0    0 0   53 1  0 2 0 2 0 3 0 4 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 
54 8 E  8 451 60  54  3925    0 12061    0 10401 0 11492 0 10186 0  5601 0    0 0   54 1  0 2 0 2 0 2 0 2 0 4 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 
55 8 E  9 488 38  55  9992 2436 15107    0 10942 0 10595 0     0 0     0 0    0 0   55 3  4 3 0 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
56 8 E 10 408 26  56 10918    0 15366    0  5920 0     0 0     0 0     0 0    0 0   56 5  0 4 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
57 8 H  3 378 44  57  5384  469  7276    0 11264 0 10588 0  4169 0     0 0    0 0   57 2  2 2 0 3 0 3 0 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 
58 8 H  4 330 40  58     0    0  8590    0 11871 0 13040 0     0 0     0 0    0 0   58 0  0 2 0 3 0 5 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 
59 8 H  5 272 25  59     0  218  4009    0  3735 0     0 0     0 0     0 0    0 0   59 0  1 2 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 
60 8 H  6 431 55  60  6270    0 11032    0 13759 0  7774 0 11221 0  3255 0    0 0   60 2  0 2 0 3 0 2 0 3 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 
61 8 H  7 415 54  61     0    0  6505    0 12145 0 11048 0 12547 0  3220 0    0 0   61 0  0 1 0 2 0 2 0 3 0 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 
62 8 H  8 409 57  62  7306 1113  7840    0  9361 0  7594 0  9581 0  2771 0    0 0   62 2  2 2 0 3 0 2 0 3 0 3 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 
63 8 H  9 463 42  63 15908    0 11515    0 13545 0  8303 0  2272 0     0 0    0 0   63 6  0 2 0 3 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
64 8 H 10 480 30  64  9723    0 12058    0 10543 0     0 0     0 0     0 0    0 0   64 7  0 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
